Date,LIVE CATTLE,LEAN HOGS
2013-08-31,122.8375,92.81022727272727
2013-09-30,125.92619047619047,90.8607142857143
2013-10-31,130.01521739130433,89.97934782608696
2013-11-30,132.2095238095238,86.60595238095237
2013-12-31,132.4,84.24285714285713
2014-01-31,139.71477272727273,86.05454545454546
2014-02-28,143.70999999999998,92.5625
2014-03-31,144.63690476190476,119.48095238095237
2014-04-30,144.48214285714286,123.25595238095238
2014-05-31,137.64886363636364,116.21931818181817
2014-06-30,145.82261904761904,121.72261904761906
2014-07-31,153.60434782608695,128.1858695652174
2014-08-31,153.07619047619048,104.63809523809525
2014-09-30,157.02159090909092,105.14431818181819
2014-10-31,166.22608695652173,97.50217391304349
2014-11-30,168.6925,90.33500000000001
2014-12-31,163.3159090909091,84.35909090909091
2015-01-31,157.15238095238095,74.36309523809524
2015-02-28,157.4125,64.97125
2015-03-31,156.9909090909091,62.70681818181818
2015-04-30,160.01785714285714,67.82380952380952
2015-05-31,151.6238095238095,81.67142857142856
2015-06-30,152.04886363636362,78.7909090909091
2015-07-31,146.9858695652174,78.31521739130434
2015-08-31,147.11904761904762,72.08095238095238
2015-09-30,137.47727272727272,70.00227272727273
2015-10-31,133.875,68.47045454545454
2015-11-30,132.20595238095237,56.24761904761905
2015-12-31,125.16136363636365,57.56704545454545
2016-01-31,132.37375,62.35125000000001
2016-02-29,134.81785714285715,67.62261904761905
2016-03-31,137.13636363636363,70.42386363636363
2016-04-30,129.35,71.78333333333333
2016-05-31,120.50795454545455,79.1125
2016-06-30,118.81136363636364,83.53750000000001
2016-07-31,111.74761904761904,77.66666666666667
2016-08-31,114.59673913043478,63.949999999999996
2016-09-30,104.51931818181819,56.23522727272727
2016-10-31,100.14285714285714,46.93095238095238
2016-11-30,106.7625,48.19431818181818
2016-12-31,112.08452380952382,59.81071428571429
2017-01-31,118.13068181818181,65.59318181818182
2017-02-28,118.79625000000001,70.8225
2017-03-31,118.66304347826087,67.92173913043479
2017-04-30,125.98421052631578,64.21052631578948
2017-05-31,124.60434782608696,75.40652173913044
2017-06-30,124.41931818181818,84.07272727272726
2017-07-31,115.17738095238094,86.8404761904762
2017-08-31,108.94239130434784,72.49782608695652
2017-09-30,107.66666666666667,59.24404761904762
2017-10-31,112.55795454545455,62.3875
2017-11-30,121.11022727272729,63.21136363636364
2017-12-31,118.45875000000001,66.82625
2018-01-31,121.33977272727272,72.22386363636363
2018-02-28,127.66125,71.79249999999999
2018-03-31,120.04880952380952,64.16190476190476
2018-04-30,117.20714285714286,61.00833333333333
2018-05-31,104.94347826086955,71.26521739130435
2018-06-30,107.6297619047619,80.00357142857143
2018-07-31,107.09772727272728,73.39204545454545
2018-08-31,108.6304347826087,54.73478260869565
2018-09-30,111.5225,57.425
2018-10-31,113.35760869565217,61.126086956521746
2018-11-30,116.05681818181819,57.632954545454545
2018-12-31,119.82750000000001,58.436249999999994
2019-01-31,125.36704545454545,60.8
2019-02-28,127.39500000000001,55.902499999999996
2019-03-31,128.22261904761905,68.56309523809524
2019-04-30,126.26547619047618,83.65238095238095
2019-05-31,111.30978260869566,86.38804347826087
2019-06-30,108.57125,78.24625
2019-07-31,107.45869565217392,78.00978260869564
2019-08-31,104.55454545454545,69.98068181818182
2019-09-30,99.9095238095238,63.57142857142857
2019-10-31,109.97608695652173,64.87826086956522
2019-11-30,119.57738095238095,62.80952380952381
2019-12-31,121.71666666666667,66.07738095238095
2020-01-31,125.22727272727273,66.83863636363637
2020-02-29,118.995,60.35
2020-03-31,102.3034090909091,61.30681818181818
2020-04-30,90.37857142857143,46.62023809523809
2020-05-31,95.53571428571429,62.49404761904762
2020-06-30,95.22954545454546,48.38068181818182
2020-07-31,100.69673913043479,49.35217391304347
2020-08-31,104.85833333333333,52.971428571428575
2020-09-30,106.36477272727274,65.1659090909091
2020-10-31,106.83295454545454,71.91931818181818
2020-11-30,110.1297619047619,65.55238095238094
2020-12-31,110.0534090909091,66.17386363636363
2021-01-31,114.30375,69.0025
2021-02-28,115.995,78.71000000000001
2021-03-31,119.30434782608695,93.0695652173913
2021-04-30,120.57840909090909,105.52613636363635
2021-05-31,116.28095238095239,112.6297619047619
2021-06-30,119.74204545454545,113.65681818181817
2021-07-31,121.34545454545454,108.30795454545455
2021-08-31,123.18977272727274,97.94204545454545
2021-09-30,123.4375,86.66931818181818
2021-10-31,124.95714285714286,82.22261904761905
2021-11-30,133.27727272727273,75.28295454545454
2021-12-31,136.98152173913044,77.97173913043478
2022-01-31,137.72261904761905,82.91071428571429
2022-02-28,142.0725,97.9125
2022-03-31,139.25108695652173,102.85326086956522
2022-04-30,139.81,104.07625
2022-05-31,132.77045454545453,104.9
2022-06-30,135.86818181818182,109.51363636363637
2022-07-31,135.68571428571428,114.71785714285713
2022-08-31,140.04239130434783,105.70108695652173
2022-09-30,144.60238095238097,92.68333333333332
2022-10-31,147.73928571428573,89.21904761904761
2022-11-30,152.53095238095239,84.19761904761906
2022-12-31,154.63214285714287,84.8702380952381
2023-01-31,157.325,78.68625
2023-02-28,162.46184210526317,80.57894736842105
2023-03-31,164.2467391304348,81.02934782608695
2023-04-30,173.27875,75.19
2023-05-31,164.60454545454547,79.90795454545456
2023-06-30,178.21666666666667,90.46785714285714
2023-07-31,178.16125,100.7
2023-08-31,179.04375,102.0125
